,0
10,"['similar', 'solutions', 'compressible', 'laminar', 'free', 'mixingproblems', 'supersonic', 'aerodynamics', 'many', 'situations', 'ofpractical', 'interest', 'wherein', 'streams', 'different', 'velocities', 'andin', 'general', 'different', 'stagnation', 'pressures', 'mix', 'one', 'another', 'in', 'majority', 'problems', 'interaction', 'thetwo', 'streams', 'takes', 'place', 'presence', 'axial', 'pressure', 'gradient', 'effect', 'characteristics', 'mixing', 'may', 'influencesignificantly', 'performances', 'devices', 'whereinthe', 'phenomena', 'cited', 'occur', 'theoretical', 'experimentalprogram', 'research', 'study', 'mixing', 'presence', 'ofaxial', 'pressure', 'gradients', 'carried', 'polytechnicinstitute', 'brooklyn']"
11,"['structural', 'aerelastic', 'considerations', 'highspeed', 'flight', 'dominating', 'factors', 'structural', 'design', 'highspeedaircraft', 'thermal', 'aeroelastic', 'origin', 'subjectmatter', 'concerned', 'largely', 'discussion', 'factors', 'andtheir', 'interrelation', 'one', 'another', 'summary', 'presentedof', 'analytical', 'experimental', 'tools', 'available', 'toaeronautical', 'engineers', 'meet', 'demands', 'highspeed', 'flightupon', 'aircraft', 'structures', 'state', 'art', 'respect', 'toheat', 'transfer', 'boundary', 'layer', 'structure', 'modesof', 'failure', 'combined', 'load', 'well', 'thermal', 'inputs', 'andacrothermoelasticity', 'discussed', 'methods', 'attacking', 'andalleviating', 'structural', 'aeroelastic', 'problems', 'highspeedflight', 'summarized', 'finally', 'avenues', 'fundamentalresearch', 'suggested']"
12,"['similarity', 'laws', 'stressing', 'heated', 'wings', 'shown', 'differential', 'equations', 'heatedplate', 'large', 'temperature', 'gradient', 'similar', 'plate', 'atconstant', 'temperature', 'made', 'proper', 'modificationof', 'thickness', 'loading', 'isothermal', 'plate', 'this', 'fact', 'leads', 'result', 'stresses', 'heated', 'platecan', 'calculated', 'measured', 'strains', 'unheated', 'plate', 'bya', 'series', 'relations', 'called', 'similarity', 'laws', 'applicationof', 'analog', 'theory', 'solid', 'wings', 'aerodynamic', 'heatingis', 'discussed', 'detail', 'loading', 'unheated', 'analogwing', 'is', 'however', 'complicated', 'involves', 'novel', 'conceptof', 'feedback', 'body', 'force', 'loading', 'problem', 'stressinga', 'heated', 'boxwing', 'structure', 'solved', 'analogmethod', 'briefly', 'discussed']"
13,"['piston', 'theory', 'new', 'aerodynamic', 'tool', 'aeroelastician', 'representative', 'applications', 'described', 'illustrate', 'theextent', 'simplifications', 'solutions', 'highspeed', 'unsteadyaeroelastic', 'problems', 'achieved', 'use', 'ofcertain', 'aerodynamic', 'techniques', 'known', 'collectively', 'pistontheory', 'based', 'physical', 'model', 'originally', 'proposed', 'byhayes', 'lighthill', 'piston', 'theory', 'airfoils', 'finite', 'wingshas', 'systematically', 'developed', 'landahl', 'utilizing', 'expansionsin', 'powers', 'thickness', 'ratio', 'inverse', 'theflight', 'mach', 'number', 'contributions', 'orders', 'andare', 'negligible', 'theory', 'predicts', 'pointfunction', 'relationshipbetween', 'local', 'pressure', 'surface', 'wing', 'thenormal', 'component', 'fluid', 'velocity', 'produced', 'wingsmotion', 'computation', 'generalized', 'forces', 'aeroelasticequations', 'flutter', 'determinant', 'always', 'reducedto', 'elementary', 'integrations', 'assumed', 'modes', 'motion', 'essentially', 'closedform', 'solutions', 'given', 'bendingtorsionand', 'controlsurface', 'flutter', 'properties', 'typical', 'section', 'airfoilsat', 'high', 'mach', 'numbers', 'agree', 'well', 'results', 'ofmore', 'exact', 'theories', 'wherever', 'comparisons', 'fairly', 'made', 'moreover', 'demonstrate', 'increasingly', 'important', 'influenceof', 'thickness', 'profile', 'shape', 'grows', 'larger', 'discovery', 'thatwould', 'almost', 'impossible', 'using', 'available', 'aerodynamictools', 'complexity', 'practical', 'flutter', 'analyseseg', 'onthreedimensional', 'wings', 'panelsis', 'shown', 'substantiallyreduced', 'piston', 'theory', 'iterative', 'procedure', 'outlined', 'bywhich', 'improved', 'flutter', 'eigenvalues', 'found', 'thesuccessive', 'introduction', 'higherorder', 'terms', 'applications', 'unsteady', 'supersonic', 'problems', 'reviewedincluding', 'gust', 'response', 'rapid', 'maneuvers', 'elasticaircraft', 'steadystate', 'aeroelastic', 'calculations', 'also', 'discussedbut', 'piston', 'theory', 'amounts', 'slight', 'modificationof', 'ackerets', 'formulas', 'suggestions', 'made', 'regarding', 'future', 'research', 'based', 'thenew', 'aerodynamic', 'method', 'particular', 'emphasis', 'areas', 'wherecomputational', 'labor', 'reduced', 'minimum', 'loss', 'precision', 'pointed', 'mach', 'number', 'zone', 'exists', 'wherethermal', 'effects', 'appreciable', 'nonlinear', 'viscous', 'interactionsmay', 'neglected', 'zone', 'piston', 'theory', 'logicalway', 'estimating', 'air', 'loads', 'analyzing', 'aerodynamicthermoelasticinteraction', 'problems']"
14,"['twodimensional', 'panel', 'flutter', 'theory', 'experiments', 'flutter', 'buckled', 'plate', 'arediscussed', 'shown', 'increase', 'initial', 'deviationfrom', 'flatness', 'static', 'pressure', 'differential', 'across', 'plateraises', 'critical', 'value', 'reduced', 'velocity', 'applicability', 'galerkin', 'method', 'linearizedproblem', 'flutter', 'unbuckled', 'plate', 'questioned', 'byseveral', 'authors', 'paper', 'flutter', 'condition', 'formulatedin', 'form', 'integral', 'equation', 'solved', 'numericallyby', 'method', 'iteration', 'method', 'matrix', 'approximationsthus', 'avoiding', 'constraint', 'assumed', 'modes', 'aplate', 'with', 'finite', 'bending', 'rigidity', 'results', 'confirm', 'thosegiven', 'galerkin', 'method', 'approximate', 'analysis', 'limiting', 'form', 'amplitude', 'ofthe', 'flutter', 'motion', 'buckled', 'plate', 'presented']"
15,"['transformation', 'compressible', 'turbulent', 'boundarylayer', 'transformation', 'compressible', 'turbulent', 'boundarylayerequations', 'incompressible', 'equivalent', 'demonstratedanalytically', 'transformation', 'essentially', 'sameas', 'laminar', 'layer', 'first', 'given', 'stewartson', 'exceptthat', 'explicit', 'relation', 'viscosity', 'temperatureis', 'required', 'key', 'point', 'analysis', 'modificationof', 'stream', 'function', 'include', 'mean', 'fluctuating', 'componentsand', 'postulate', 'apparent', 'turbulent', 'shearassociated', 'elemental', 'mass', 'remains', 'invariant', 'thetransformation', 'values', 'incompressible', 'friction', 'coefficients', 'ofpressure', 'rise', 'causing', 'separation', 'thus', 'transformed', 'show', 'goodagreement', 'experimentally', 'measured', 'independentlyreported', 'results', 'application', 'transformation', 'theselfpreserving', 'boundary', 'layers', 'computations', 'ofgeneral', 'boundarylayer', 'flow', 'shown']"
16,"['remarks', 'eddy', 'viscosity', 'compressible', 'mixing', 'flows', 'connection', 'study', 'wakes', 'behind', 'bodies', 'hypersonic', 'flowcarried', 'missile', 'space', 'vehicle', 'division', 'generalelectric', 'company', 'desired', 'estimate', 'eddy', 'viscosity', 'inaxisymmetric', 'compressible', 'wakes', 'lack', 'applicableexperimental', 'data', 'found', 'necessary', 'make', 'estimate', 'byrationally', 'extending', 'available', 'data', 'incompressible', 'flows', 'tothe', 'compressible', 'case', 'suggested', 'application', 'extension', 'ofthe', 'transformations', 'applied', 'turbulent', 'boundary', 'layers', 'referenceinfinitesimal', 'mass', 'invariant', 'transformation', 'mager', 'showed', 'thatthe', 'partial', 'differential', 'equations', 'compressible', 'turbulent', 'boundarylayer', 'transformed', 'incompressible', 'form', 'validity', 'ofthis', 'assumption', 'transformations', 'established', 'severalboundarylayer', 'flows', 'comparison', 'experiment']"
17,"['flow', 'field', 'diffuser', 'radial', 'compressor', 'note', 'discusses', 'twodimensional', 'diffuser', 'flow', 'fieldin', 'radial', 'compressor', 'outside', 'impeller', 'wheel', 'isassumed', 'diffuser', 'guide', 'vanes', 'arranged', 'circularrow', 'radius', 'impeller', 'wheel', 'radius', 'seefig', '1', 'flow', 'diffuser', 'starts', 'circle', 'theradius', 'velocity', 'components', 'r', 'anddirections', 'velocity', 'vector', 'circle', 'prescribedtogether', 'thermal', 'state', 'gas', 'flow', 'prescribedon', 'radius', 'will', 'disturbances', 'present', 'ie', 'noboundary', 'conditions', 'flow', 'zero', 'velocity', 'infinityare', 'fulfilled', 'develop', 'spiral', 'flow']"
18,"['investigation', 'pressure', 'distribution', 'conical', 'bodies', 'inhypersonic', 'flows', 'large', 'amount', 'work', 'conical', 'flow', 'fields', 'without', 'axial', 'symmetryat', 'supersonic', 'speed', 'presently', 'available', 'however', 'apparenthypersonic', 'approximation', 'yet', 'derived', 'note', 'experimentaldata', 'two', 'elliptical', 'cones', '6', 'presented', 'hypersonicapproach', 'obtained', 'physical', 'considerations', 'suggested']"
19,"['generalisednewtonian', 'theory', 'author', 'generalizes', 'leess', 'amr', '101957', 'rev', '2601', 'modificationof', 'newtonian', 'theory', 'bluntnose', 'bodies', 'apply', 'pointednosebodies', 'well', 'result', 'expressed', 'bysin', 'local', 'inclination', 'body', 'surfaceand', 'subscript', 'max', 'refers', 'maximum', 'local', 'inclinationand', 'pressure', 'coefficient', 'bluntnose', 'bodiesand', 'generalized', 'theory', 'reverts', 'leess', 'bluntnose', 'modificationwith', 'given', 'normal', 'shock', 'relations', 'author', 'showsby', 'comparison', 'newtonian', 'generalizednewtonian', 'theorywith', 'exact', 'solutions', 'superiority', 'generalizednewtoniantheory', 'also', 'shows', 'twodimensional', 'axisymmetricshapes', 'correlated', 'generalization', 'results', 'arepresented', 'two', 'figures', 'support', 'authors', 'generalization', 'andindicate', 'independence', 'correlation', 'variations', 'inboth', 'hypersonic', 'similarity', 'parameter', 'k', 'md1', 'ratioof', 'specific', 'heats', 'reviewer', 'believes', 'generalization', 'interest', 'tothose', 'engaged', 'development', 'hypersonic', 'hardware', 'well', 'astheory']"
20,"['heat', 'transfer', 'slip', 'flow', 'number', 'authors', 'considered', 'effect', 'slip', 'heat', 'transferand', 'skin', 'friction', 'laminar', 'boundary', 'layer', 'flat', 'plate', 'reference', '1', 'considers', 'perturbation', 'usual', 'laminarboundarylayer', 'analysis', 'studiesdash', 'eg', 'referencethe', 'impulsive', 'motion', 'infinite', 'plate']"
21,"['slipflow', 'heat', 'transfer', 'flat', 'plate', 'assuming', 'continuum', 'flow', 'energy', 'equation', 'boundarylayer', 'remains', 'valid', 'well', 'slip', 'region', 'taking', 'account', 'thetemperature', 'jump', 'moving', 'rarefied', 'gas', 'influence', 'oflarge', 'mean', 'free', 'path', 'appropriate', 'boundary', 'conditions', 'asolution', 'found', 'temperature', 'gradient', 'slip', 'region', 'then', 'maslen', 'expression', 'j', 'aero', 'sci', '25', '6', '400401', 'juneslipping', 'fluid', 'flat', 'plate', 'behavior', 'confirms', 'results', 'forsmall', 'values', 'knudsen', 'number']"
22,"['skinfriction', 'heat', 'transfer', 'characteristics', 'ofa', 'laminar', 'boundary', 'layer', 'cylinder', 'axial', 'incompressibleflow', 'solution', 'given', 'case', 'laminar', 'boundary', 'layerof', 'incompressible', 'fluid', 'constant', 'properties', 'exteriorof', 'cylinder', 'flow', 'parallel', 'cylinder', 'axis', 'casediffers', 'blasius', 'solution', 'flow', 'along', 'flat', 'plate', 'byconsidering', 'effect', 'curvature', 'plane', 'transverse', 'tothe', 'flow', 'direction', 'local', 'skinfriction', 'heattransfercoefficients', 'prandtl', 'number', '0715', 'evaluated', 'andcompared', 'similar', 'magnitudes', 'flat', 'plate', 'flow', 'theeffect', 'curvature', 'shown', 'significant', 'practicalcases', 'recovery', 'factors', 'evaluated', 'quantity', 'isfound', 'insensitive', 'effect', 'curvature', 'boundary']"
23,"['theory', 'stagnation', 'point', 'heat', 'transfer', 'dissociatedair', 'boundarylayer', 'equations', 'developed', 'general', 'thecase', 'high', 'speed', 'flight', 'external', 'flow', 'dissociatedstate', 'particular', 'effects', 'diffusion', 'atomrecombination', 'boundary', 'layer', 'included', 'shownthat', 'stagnation', 'point', 'equations', 'reduced', 'exactlyto', 'set', 'nonlinear', 'ordinary', 'differential', 'equations', 'even', 'thechemical', 'reactions', 'proceed', 'slowly', 'boundary', 'layer', 'isnot', 'thermochemical', 'equilibrium', 'two', 'methods', 'numerical', 'solution', 'stagnation', 'pointequations', 'presented', 'one', 'equilibrium', 'case', 'theother', 'nonequilibrium', 'case', 'numerical', 'results', 'correlatedin', 'terms', 'parameters', 'entering', 'numerical', 'formulationso', 'depend', 'critically', 'physical', 'assumptionsmade', 'nonequilibrium', 'boundary', 'layer', 'catalytic', 'toatom', 'recombination', 'noncatalytic', 'wall', 'surfaces', 'considered', 'solution', 'represented', 'shows', 'transitionfrom', 'frozen', 'boundary', 'layer', 'very', 'slow', 'recombinationrates', 'equilibrium', 'boundary', 'layer', 'fast', 'recombination', 'rates', 'a', 'recombination', 'rate', 'parameter', 'introduced', 'interpret', 'thenonequilibrium', 'results', 'shown', 'scale', 'factor', 'involvedin', 'relating', 'equilibrium', 'state', 'boundary', 'layer', 'onbodies', 'different', 'sizes', 'concluded', 'heat', 'transfer', 'equilibriumstagnation', 'point', 'boundary', 'layer', 'computed', 'accurately', 'bya', 'simple', 'correlation', 'formula', 'heattransfer', 'almost', 'unaffected', 'nonequilibrium', 'state', 'theboundary', 'layer', 'provided', 'wall', 'catalytic', 'lewisnumber', 'near', 'unity']"
24,"['inviscid', 'hypersonic', 'flow', 'bluntnosed', 'slender', 'bodies', 'hypersonic', 'speeds', 'drag', 'area', 'blunt', 'nose', 'muchlarger', 'drag', 'area', 'slender', 'afterbody', 'energycontained', 'flow', 'field', 'plane', 'right', 'angles', 'flightdirection', 'nearly', 'constant', 'downstream', 'distance', 'manytimes', 'greater', 'characteristic', 'nose', 'dimension', 'thetransverse', 'flow', 'field', 'exhibits', 'certain', 'similarity', 'properties', 'directlyanalogous', 'flow', 'similarity', 'behind', 'intense', 'blast', 'wavefound', 'g', 'i', 'taylor', 's', 'c', 'lin', 'a', 'sakurai', 'comparisonwith', 'experiments', 'hammitt', 'vas', 'bogdonoff', 'aflat', 'plate', 'blunt', 'leading', 'edge', 'helium', 'showsthat', 'shockwave', 'shape', 'predicted', 'accurately', 'thissimilarity', 'analysis', 'predicted', 'surface', 'pressure', 'distributionis', 'somewhat', 'less', 'satisfactory', 'experimental', 'results', 'hemispherecylinderobtained', 'galcit', 'air', 'tunnelindicate', 'shockwave', 'shape', 'also', 'surfacepressures', 'body', 'given', 'closely', 'similaritytheory', 'except', 'near', 'hemispherecylinder', 'junction', 'energy', 'considerations', 'combined', 'detailed', 'study', 'theequations', 'motion', 'show', 'flow', 'similarity', 'also', 'possible', 'fora', 'class', 'bodies', 'form', 'provided', 'thatwhere', 'twodimensional', 'body', 'abody', 'revolution', 'shock', 'shape', 'notsimilar', 'body', 'shape', 'entire', 'flow', 'field', 'distancefrom', 'nose', 'must', 'depend', 'extent', 'detailsof', 'nose', 'geometry', 'utilizing', 'energy', 'drag', 'considerations', 'one', 'findsthat', 'hypersonic', 'speeds', 'inviscid', 'surface', 'pressures', 'generatedby', 'blunt', 'leading', 'edge', 'larger', 'pressures', 'inducedby', 'boundarylayer', 'growth', 'insulated', 'flat', 'surfacefor', 'insulated', 'bluntnosed', 'slender', 'body', 'revolution', 'thecorresponding', 'distance', 'given', 'hereis', 'freestream', 'reynolds', 'number', 'based', 'leadingedgethickness', 'nose', 'diameter', 'free', 'flight', 'constants', 'arereplaced', '1700', '20', 'respectively', 'viscous', 'interactioneffects', 'important', 'forward', 'portion', 'bluntnosedslender', 'body', 'relatively', 'low', 'values', 'howeverfar', 'downstream', 'nose', 'inviscid', 'overpressure', 'issmall', 'viscous', 'interaction', 'phenomena', 'takeninto', 'account']"
25,"['inviscid', 'leadingedge', 'effect', 'hypersonic', 'flow', 'current', 'interest', 'problem', 'inviscidviscous', 'interactionhas', 'led', 'realization', 'significant', 'effect', 'ofthe', 'leadingedge', 'thickness', 'hypersonic', 'flow', 'purposeof', 'note', 'give', 'account', 'downstream', 'influenceof', 'blunt', 'leading', 'edge', 'basis', 'hypersonic', 'smallperturbation', 'theory']"
26,"['newtonian', 'flow', 'theory', 'slender', 'bodies', 'aid', 'aerodynamieist', 'design', 'air', 'frames', 'forhypersonic', 'speeds', 'speeds', 'faster', 'mach', '5', 'newtonianflow', 'theory', 'examined', 'point', 'view', 'gas', 'dynamicsand', 'hypersonic', 'smalldisturbance', 'theory', 'usual', 'theory', 'isshown', 'result', 'first', 'approximation', 'expansion', 'validfor', 'small', 'basic', 'similarity', 'parameteris', 'introduced', 'general', 'solutionof', 'first', 'approximation', 'flow', 'past', 'slender', 'bodies', 'bodieswhich', 'cause', 'small', 'disturbance', 'stream', 'zero', 'angleof', 'attack', 'given', 'important', 'condition', 'limits', 'theapplication', 'theory', 'notednamely', 'pressurecoefficient', 'surface', 'fall', 'zero', 'theory', 'appliedto', 'cones', 'bodies', 'whose', 'shape']"
27,"['note', 'explosion', 'solution', 'sedov', 'applicationto', 'newtonian', 'theory', 'unsteady', 'hypersonic', 'flow', 'exact', 'analytical', 'solution', 'equations', 'inviscid', 'compressibleunsteady', 'flow', 'given', 'sedov', 'referenceto', 'solution', 'may', 'made', 'hayes', 'probstein', 'this', 'solution', 'similarity', 'solution', 'constantenergy', 'pointexplosion', 'view', 'recent', 'work', 'problems', 'hypersonicflow', 'limiting', 'form', 'ratio', 'specific', 'heats', 'near', '1solution', 'limit', 'inquire', 'form', 'solution', 'wouldtake', 'einbinder', 'recent', 'note', 'examined', 'solution', 'forvarious', 'mention', 'interesting', 'case', 'it', 'may', 'shown', 'convergence', 'limit', 'nonuniformover', 'flow', 'field', 'also', 'difficult', 'show', 'nonuniformbehavior', 'exhibited', 'one', 'would', 'expectfrom', 'newtonian', 'formulation', 'derived', 'reference', '3']"
28,"['simple', 'model', 'study', 'transient', 'temperature', 'thermalstress', 'distribution', 'due', 'aerodynamic', 'heating', 'present', 'work', 'concerned', 'determination', 'transienttemperatures', 'thermal', 'stresses', 'simple', 'models', 'intendedto', 'simulate', 'parts', 'whole', 'aircraft', 'structure', 'builtupvariety', 'subjected', 'aerodynamic', 'heating', 'first', 'case', 'considered', 'convective', 'heat', 'transferinto', 'one', 'side', 'flat', 'plate', 'representing', 'thick', 'skin', 'theeffect', 'resulting', 'temperature', 'distribution', 'inducing', 'thermalstresses', 'associated', 'bending', 'restraint', 'plate', 'edges', 'numerical', 'results', 'presented', 'transient', 'temperature', 'differentialsin', 'plate', 'environment', 'temperature', 'firstincreases', 'linearly', 'time', 'remains', 'constant', 'theperiod', 'linear', 'increase', 'representing', 'time', 'acceleration', 'ofthe', 'aircraft', 'corresponding', 'thermal', 'stress', 'information', 'presented', 'second', 'case', 'wideflanged', 'ibeam', 'convectiveheat', 'transfer', 'outer', 'faces', 'flanges', 'numericalresults', 'presented', 'transient', 'temperature', 'differentials', 'awide', 'range', 'values', 'applicable', 'parameters', 'environmenttemperature', 'variation', 'described', 'correspondingthermal', 'stresses', 'beam', 'infinite', 'length', 'determined', 'theoretical', 'analysis', 'stress', 'distribution', 'beamof', 'finite', 'length', 'carried', 'numerical', 'results', 'obtained', 'forone', 'case', 'experimental', 'investigation', 'temperatures', 'andstresses', 'beam', 'described', 'results', 'presentedwhich', 'indicate', 'good', 'agreement', 'corresponding', 'theoreticalresults']"
